"Phrase","Meaning"
"Бетінен оты шықты","ұялды"
"Беті бүлк етпеді","ұялмады"
"Ажары сынды","мұңайды"
"Қуанышы қойнына сыймады","қуанды"
"Қолы қолына жұқпады","тез қимылдады"
"Саусағының ұшын қимылдатпады","қозғалмады, еш нәрсе істемеді"
"Үріп ауызға салғандай","сұлу, әдемі, көрікті, келбетті, әсем"
"қыздың жиған жүгіндей","сұлу, әдемі, көрікті, келбетті, әсем"
"Ит өлген жер","алыс, қашық, шалғай"
"ит арқасы қиянда","алыс, қашық, шалғай"
"Ит терісін басына қаптады","ұрысты, сөкті, балағаттады"
"жерден алып, жерге салды","ұрысты, сөкті, балағаттады"
"Ағынан жарылды","ештеңені жасырмады, бар сырын ақтарды"
"Ажал оғы атылды","өлді, мерт болды"
"Ажары кірді","көріктенді"
"Азуы алты қарыс","қаһарлы"
"Азуын айға біледі","мейлінше батыл қайрат көрсетті"
"Айдар тақты","әйгілі қылды"
"Айдарынан жел еседі","асқақтап дәурен сүру"
"Айды аспанға шығарды","аты шықты, таң қалдырды"
"Айдың күні аманда","аман-есенде, тыныштықта"
"Аймандай қылды","әшкереленді, ұятты болды"
"Айна қатесі жоқ","дәл, тұп-тура"
"Айтаққа ерді","өсек-аяңға ерді"
"Айтқан сөз құлағынан ағып кетті","түсінбеді"
"Айы оңынан туды","жолы болды"
"Айызы қанды","көңілі жай тапты, құмары қанды"
"Айылын жимау","жасқанбау, сескенбеу"
"Ақ ауыз қылды","алдап кетті"
"Ақ жарқын","ашық көңілді"
"Ақ иық","айрықша асыл қыран"
"Ақ киізге көтерді","хан сайлады"
"Ақ саусақ","жалқау"
"Ақ тамақ","қыздың сұлу тамағы"
"Ақыл(ой) таразысына салды","ойланды"
"Ақысын жеу","еңбегінің ақысын бермеу"
"Ала ауыз (алты бақан)","бірлігі жоқ"
"Ала болды","араздасты"
"Ала көзімен атты","жек көріп, тіктесе қарады"
"Алақанға қарады","дәмеленді"
"Алақанның аясындай","тар жер"
"Алақанына түкірді","іске дайын тұрды"
"Ал-дал болды","әуре –сарсаң күйге түсті"
"Алқам-салқамы шықты","тозығы жетті"
"Алқымынан алды","қинады"
"Алмасын қанға суарды","кектенді"
"Алпыс екі тамыры босады","елжіреп, мейірімі түсті"
"Араны ашылды","аш көзденді"
"Арасынан қыл өтпейді","өте тату"
"Арқа сүйеу","сүйеніш еті"
"Арқаны кеңге салу","асықпау, саспау"
"Арқасы мұздап қоя берді","сескенді"
"Арнасына (сабасына) түсті","ашуы тарқады"
"Артына сөз қалдырды","кейінгіге өнегелі сөз қалдырды"
"Ас аш өзегіне түсті","ішкен тамағы кеселге соқтырды"
"Ас қайырды","бата берді"
"Асығы алшысынан түсті","жолы болды"
"Ат арылту","әуре болу"
"Ат ойнатты","басынды"
"Ат салысу","көмектесу"
"Ат ізін салмау","хабарласпау"
"Ат ізін суытпау","жиі келіп тұру"
"Атарға оғы жоқ","ашуланған адам"
"Ат-тонын ала қашу","басын алып қашу, жауапкершіліктен бас тарту"
"Аузын буған өгіздей","үндемейтін адам"
"Аузына құм құйылды","жағы қарысты, сөйлей алмады"
"Аузынан бір елі тастамайды","үнемі айтады"
"Аузынан салбырап түскенбей","айнымай ұқсаған"
"Аузының салымы бар","несібелі кісі"
"Ауыз жаласу","жақтасу, болысу"
"Аш көз","қомағай адам"
"Аяғы аспаннан келді","тас талқаны шықты"
"Аяқтандыру","үйлендіру"
"Әй дейтін әже жоқ, қой дейтін қожа жоқ","бассыздық, тәртіпсіздік"
"Әңгімесі жарасу","ортақ тіл табысу"
"Әпер бақан","шаш ал десе, бас алатын адам"
"Базары тарқады","дәурені өтті"
"Балақтағы бит басқа шапты","болмашы жұрт қорлады"
"Бармағын тістеді","өкінді"
"Бас білдіру","үйрету"
"Бас изеді","келісу"
"Бас имеу","келіспеу, берілмеу"
"Бас кеспек болса да, тіл кеспек жоқ","салттан аттау жоқ"
"Басынан сөз асырмау","басындырмау"
"Бауыр басу","үйрену"
"Бес аспап","өнерлі"
"Бес саусақтай білу","жетік білу"
"Бет бақтырмау","бой бермеу"
"Бетке айту","шындықты көзіне айту"
"Бетке шіркеу болды","ұятқа қалдырды"
"Бит қабығынан биялай тоқыған","өте шебер"
"Биті торғайдай, мойны ырғайдай","арық"
"Бүйректен сирақ шығару","болмашы нәрседен шатақ шығару"
"Бүйідей тиді","әлек салды"
"Ғайып ерен қырық шілтен","мұсылмандарды қорғап жүретін киелі бейнелер"
"Далаға кетті","босқа кетті"
"Дәм-тұзы жараспады","тату-тәтті тұра алмады"
"Деміне (кеудесіне ) нан пісірді","мақтанып ісіп кетті"
"Дымын шығармау","үндемеу"
"Ділгір болу","өте мұқтаж болу"
"Екі аяғын (өкпесін) қолына алу","аяғы-аяғына жұқпау"
"Екі аяғын бір етікке тығу","қысымға алу"
"Екі езуі екі құлағына жету","қуану"
"Екі көзі төрт болды","қорықты"
"Екі көзі шарасынан шығу","қорқу"
"Екі қолынан демін алу","болып, жетісіп отыру"
"Еңбегін сауды","адал күн кешті"
"Еңсесі құру","сағыну"
"Ер қаруы – бес қару","қылыш найза, садақ, шоқпар, сойыл – ерлер асынып жүретін қарулар"
"Ереуіл атқа ер салу","елін қорғануға асыну"
"Ернін шығарды","мазақтады"
"Ернінің емеурінін табу","көңілін табу"
"Есек құрты мұртына түсу","баю"
"Етек-жеңін жию","есін жию"
"Етектен алу","кедергі жасау"
"Ешкімнің ала жібін аттамау","қиянат жасамау"
"Жағадан алу","қылғындыру"
"Жағасын ұстау","таңдану"
"Жағы сембеді (тынбады)","көп сөйледі"
"Жағына пышақ жанығандай","арық"
"Жайдың атқан тасындай","аса құдіретті, мықты"
"Жалғанды жалпағынан басу","молшылықта өмір сүру"
